Job Class,Percentage
Management,6.1,https://www.thebalancecareers.com/management-101-2275142
Business and Financial operations,5,https://www.floridatechonline.com/blog/accounting-finance/finance-operations-director-career-and-salary-profile/
Computer and Mathematical,2.7,http://www.careers.org/occupations/field/15/computer-and-mathematical
Architecture and Engineering,1.7,https://www.bls.gov/ooh/architecture-and-engineering/home.htm
"Life, Physical and Social Science",0.9,https://www.bls.gov/oes/current/oes190000.htm
Community and Social Service,1.6,http://www.careers.org/occupations/field/21/community-and-social-services
Legal,0.8,https://www.bls.gov/ooh/legal/home.htm
"Education, training and library",6.1,https://www.bls.gov/oes/current/oes250000.htm
"Arts, design, entertainment, sports and media",1.7,https://www.bls.gov/oes/current/oes270000.htm
Healthcare practitioners and technical,5.5,https://www.bls.gov/oes/current/oes290000.htm
Healthcare support,2.8,https://www.bls.gov/oes/current/oes310000.htm
Protective service,2.3,https://www.bls.gov/ooh/protective-service/home.htm
Food preparation and serving,8.3,https://www.bls.gov/ooh/food-preparation-and-serving/home.htm
Building and grounds cleaning and maintenance,3.7,https://www.bls.gov/oes/current/oes370000.htm
Personal care and service,4,https://www.bls.gov/ooh/personal-care-and-service/home.htm
Sales,10.2,https://www.bls.gov/ooh/sales/home.htm
Office and administrative support,15.1,https://www.bls.gov/ooh/office-and-administrative-support/home.htm
"Farming, fishing and forestry",0.6,https://www.bls.gov/ooh/farming-fishing-and-forestry/home.htm
Construction and extraction,4.3,https://www.bls.gov/oes/current/oes470000.htm
"Installation, maintenance and repair",3.8,https://www.bls.gov/ooh/installation-maintenance-and-repair/home.htm
Production,6.1,https://www.bls.gov/ooh/production/home.htm
Transportation and material moving,6.5,https://www.bls.gov/oes/current/oes530000.htm
Total,99.8,
